record_id,evidence_mode,signal_a,signal_b,risk_or_response
1,SCHEMA_ALIGNED_REFERENCE,0.1667,0.3,0.4167
2,SCHEMA_ALIGNED_REFERENCE,0.3333,0.6,0.8333
3,SCHEMA_ALIGNED_REFERENCE,0.5,0.9,0.1667
4,SCHEMA_ALIGNED_REFERENCE,0.6667,0.1,0.5833
5,SCHEMA_ALIGNED_REFERENCE,0.8333,0.4,1.0
6,SCHEMA_ALIGNED_REFERENCE,1.0,0.7,0.3333
7,SCHEMA_ALIGNED_REFERENCE,0.0,1.0,0.75
8,SCHEMA_ALIGNED_REFERENCE,0.1667,0.2,0.0833
9,SCHEMA_ALIGNED_REFERENCE,0.3333,0.5,0.5
10,SCHEMA_ALIGNED_REFERENCE,0.5,0.8,0.9167
11,SCHEMA_ALIGNED_REFERENCE,0.6667,0.0,0.25
12,SCHEMA_ALIGNED_REFERENCE,0.8333,0.3,0.6667
13,SCHEMA_ALIGNED_REFERENCE,1.0,0.6,0.0
14,SCHEMA_ALIGNED_REFERENCE,0.0,0.9,0.4167
15,SCHEMA_ALIGNED_REFERENCE,0.1667,0.1,0.8333
16,SCHEMA_ALIGNED_REFERENCE,0.3333,0.4,0.1667
17,SCHEMA_ALIGNED_REFERENCE,0.5,0.7,0.5833
18,SCHEMA_ALIGNED_REFERENCE,0.6667,1.0,1.0
19,SCHEMA_ALIGNED_REFERENCE,0.8333,0.2,0.3333
20,SCHEMA_ALIGNED_REFERENCE,1.0,0.5,0.75
21,SCHEMA_ALIGNED_REFERENCE,0.0,0.8,0.0833
22,SCHEMA_ALIGNED_REFERENCE,0.1667,0.0,0.5
23,SCHEMA_ALIGNED_REFERENCE,0.3333,0.3,0.9167
24,SCHEMA_ALIGNED_REFERENCE,0.5,0.6,0.25
25,SCHEMA_ALIGNED_REFERENCE,0.6667,0.9,0.6667
26,SCHEMA_ALIGNED_REFERENCE,0.8333,0.1,0.0
27,SCHEMA_ALIGNED_REFERENCE,1.0,0.4,0.4167
28,SCHEMA_ALIGNED_REFERENCE,0.0,0.7,0.8333
29,SCHEMA_ALIGNED_REFERENCE,0.1667,1.0,0.1667
30,SCHEMA_ALIGNED_REFERENCE,0.3333,0.2,0.5833
